0:0:0:0:0:0:0:1 - - [09/Apr/2022:11:20:31 +0545] "GET /Bug_Tracking_System/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2022:11:20:34 +0545] "GET /Bug_Tracking_System/AddDepartment.jsp HTTP/1.1" 200 4840
0:0:0:0:0:0:0:1 - - [09/Apr/2022:11:20:34 +0545] "GET /Bug_Tracking_System/Images/Header.png HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [09/Apr/2022:11:20:37 +0545] "GET /Bug_Tracking_System/AddDepartment.jsp HTTP/1.1" 200 4840
0:0:0:0:0:0:0:1 - - [09/Apr/2022:11:20:37 +0545] "GET /Bug_Tracking_System/Images/Header.png HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [09/Apr/2022:11:20:38 +0545] "GET /Bug_Tracking_System/ViewDepartment.jsp HTTP/1.1" 404 748
0:0:0:0:0:0:0:1 - - [09/Apr/2022:11:20:41 +0545] "GET /Bug_Tracking_System/ViewEmployee.jsp HTTP/1.1" 404 746
0:0:0:0:0:0:0:1 - - [09/Apr/2022:11:20:44 +0545] "GET /Bug_Tracking_System/AddProject.jsp HTTP/1.1" 200 3671
0:0:0:0:0:0:0:1 - - [09/Apr/2022:11:20:44 +0545] "GET /Bug_Tracking_System/dateget.js HTTP/1.1" 200 5295
0:0:0:0:0:0:0:1 - - [09/Apr/2022:11:20:48 +0545] "GET /Bug_Tracking_System/EmployeePermission.jsp HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [09/Apr/2022:11:21:00 +0545] "GET /Bug_Tracking_System/Home.jsp HTTP/1.1" 200 5373
0:0:0:0:0:0:0:1 - - [09/Apr/2022:11:21:01 +0545] "GET /Bug_Tracking_System/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2022:11:21:01 +0545] "GET /Bug_Tracking_System/Images/Header.png HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [09/Apr/2022:11:21:01 +0545] "GET /Bug_Tracking_System/images/bug.jpg HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [09/Apr/2022:11:21:03 +0545] "GET /Bug_Tracking_System/Home.jsp HTTP/1.1" 200 5373
0:0:0:0:0:0:0:1 - - [09/Apr/2022:11:21:03 +0545] "GET /Bug_Tracking_System/Images/Header.png HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [09/Apr/2022:11:21:03 +0545] "GET /Bug_Tracking_System/images/bug.jpg HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [09/Apr/2022:11:21:05 +0545] "GET /Login?type=Admin HTTP/1.1" 404 756
0:0:0:0:0:0:0:1 - - [09/Apr/2022:11:21:08 +0545] "GET /Login?type=User HTTP/1.1" 404 756
0:0:0:0:0:0:0:1 - - [09/Apr/2022:11:21:12 +0545] "GET /Bug_Tracking_System/logout.jsp HTTP/1.1" 404 740
0:0:0:0:0:0:0:1 - - [09/Apr/2022:11:21:19 +0545] "GET /Bug_Tracking_System/logout.jsp HTTP/1.1" 404 740
0:0:0:0:0:0:0:1 - - [09/Apr/2022:11:21:23 +0545] "GET /Bug_Tracking_System/logout.jsp HTTP/1.1" 404 740
0:0:0:0:0:0:0:1 - - [09/Apr/2022:11:22:52 +0545] "GET /Bug_Tracking_System/Header.jsp HTTP/1.1" 200 3533
0:0:0:0:0:0:0:1 - - [09/Apr/2022:11:22:52 +0545] "GET /Bug_Tracking_System/Images/Header.png HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [09/Apr/2022:11:22:55 +0545] "GET /Bug_Tracking_System/Header.jsp HTTP/1.1" 200 3533
0:0:0:0:0:0:0:1 - - [09/Apr/2022:11:22:55 +0545] "GET /Bug_Tracking_System/Images/Header.png HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [09/Apr/2022:11:22:55 +0545] "GET /Bug_Tracking_System/Header.jsp HTTP/1.1" 200 3533
0:0:0:0:0:0:0:1 - - [09/Apr/2022:11:22:55 +0545] "GET /Bug_Tracking_System/Images/Header.png HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [09/Apr/2022:11:22:56 +0545] "GET /Bug_Tracking_System/Header.jsp HTTP/1.1" 200 3533
0:0:0:0:0:0:0:1 - - [09/Apr/2022:11:22:56 +0545] "GET /Bug_Tracking_System/Images/Header.png HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [09/Apr/2022:11:22:56 +0545] "GET /Bug_Tracking_System/Header.jsp HTTP/1.1" 200 3533
0:0:0:0:0:0:0:1 - - [09/Apr/2022:11:22:56 +0545] "GET /Bug_Tracking_System/Images/Header.png HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [09/Apr/2022:11:23:00 +0545] "GET /Bug_Tracking_System/logout.jsp HTTP/1.1" 404 740
0:0:0:0:0:0:0:1 - - [09/Apr/2022:11:24:43 +0545] "GET /Bug_Tracking_System/Header.jsp HTTP/1.1" 200 3533
0:0:0:0:0:0:0:1 - - [09/Apr/2022:11:24:43 +0545] "GET /Bug_Tracking_System/Images/Header.png HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [09/Apr/2022:11:24:46 +0545] "GET /Bug_Tracking_System/Logout.jsp HTTP/1.1" 200 811
0:0:0:0:0:0:0:1 - - [09/Apr/2022:11:24:46 +0545] "GET /Bug_Tracking_System/Images/Header.png HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [09/Apr/2022:11:24:49 +0545] "GET /Bug_Tracking_System/Home.jsp HTTP/1.1" 200 5407
0:0:0:0:0:0:0:1 - - [09/Apr/2022:11:24:49 +0545] "GET /Bug_Tracking_System/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2022:11:24:49 +0545] "GET /Bug_Tracking_System/Images/Header.png HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [09/Apr/2022:11:24:49 +0545] "GET /Bug_Tracking_System/images/bug.jpg HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [09/Apr/2022:11:25:06 +0545] "GET /Bug_Tracking_System/Home.jsp HTTP/1.1" 200 5407
0:0:0:0:0:0:0:1 - - [09/Apr/2022:11:25:06 +0545] "GET /Bug_Tracking_System/Images/Header.png HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [09/Apr/2022:11:25:06 +0545] "GET /Bug_Tracking_System/images/bug.jpg HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [09/Apr/2022:11:25:08 +0545] "GET /Login?type=Admin HTTP/1.1" 404 756
0:0:0:0:0:0:0:1 - - [09/Apr/2022:11:25:12 +0545] "GET /Login?type=Expert HTTP/1.1" 404 756
0:0:0:0:0:0:0:1 - - [09/Apr/2022:11:25:16 +0545] "GET /Login?type=User HTTP/1.1" 404 756
0:0:0:0:0:0:0:1 - - [09/Apr/2022:11:25:54 +0545] "GET /Bug_Tracking_System/Home.jsp HTTP/1.1" 200 5410
0:0:0:0:0:0:0:1 - - [09/Apr/2022:11:25:54 +0545] "GET /Bug_Tracking_System/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2022:11:25:54 +0545] "GET /Bug_Tracking_System/Images/Header.png HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [09/Apr/2022:11:25:54 +0545] "GET /Bug_Tracking_System/images/Header.png HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [09/Apr/2022:11:25:57 +0545] "GET /Bug_Tracking_System/Home.jsp HTTP/1.1" 200 5410
0:0:0:0:0:0:0:1 - - [09/Apr/2022:11:25:57 +0545] "GET /Bug_Tracking_System/Images/Header.png HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [09/Apr/2022:11:25:57 +0545] "GET /Bug_Tracking_System/images/Header.png HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [09/Apr/2022:11:25:57 +0545] "GET /Bug_Tracking_System/Home.jsp HTTP/1.1" 200 5410
0:0:0:0:0:0:0:1 - - [09/Apr/2022:11:25:57 +0545] "GET /Bug_Tracking_System/Images/Header.png HTTP/1.1" 404 796
